00고려개발          004200KDCA   1018 109150
00NPC               004250NPC    1008 10    
00NPC우             004255NPC5   1008 10    
00남성              004270NS     1016 10    
00현대약품          004310HDP    1009 10    
00세방              004360SEBANG 1019 10    
00세방우            004365SEBANG51019 10    
00세방2우B          004367SEBANG61019 10    
00농심              004370NONG   1005 10    
00삼익THK           004380SL     1012 10    
00서울식품          004410SFIC   1005 10    
00서울식품우        004415SFIC5  1005 10    
00송원산업          004430SWI    1008 10    
00삼화왕관          004450SCC    1012 109111
00세방전지          004490GBC    1013 10    
00깨끗한나라        004540DHP    1007 10    
00깨끗한나라우      004545DHP5   1007 10    
00현대비앤지스틸    004560BNG    1011 10    
00현대비앤지스틸우  004565BNG5   1011 10    
00삼천리            004690SCL    1017 10    
00조광피혁          004700CKL    1001 10    
00한솔테크닉스      004710HANLCD 1013 109131
00우리들제약        004720WLS    1009 10    
10보루네오          004740BIF    1001 10    
00써니전자          004770SUNNY  1013 10    
00효성              004800HTNC   1008 109171
00덕성              004830DS     1008 10    
00덕성우            004835DS5    1008 10    
00DRB동일           004840DRB    1008 10    
00티웨이홀딩스      004870AIINS  1010 10    
00동일산업          004890DIC    1011 10    
00조광페인트        004910CKP    1008 10    
00삼영홀딩스        004920SYHDS  1016 10    
00한신공영          004960HSCCL  1018 10    
00한신공영우        004965HSCCL5 1018 10    
00신라교역          004970SILLA  1001 10    
00성신양회          004980SSCMT  1010 10    
00성신양회우        004985SSCMT5 1010 10    
00성신양회2우B      004987SSCMT7 1010 10    
00성신양회3우B      004989SSCMT9 1010 10    
00롯데제과          004990LOTCO  1005 109081
00휴스틸            005010HUSTEL 1011 10    
00부산주공          005030PCI    1015 10    
00코스모신소재      005070SMC    1008 10    
00삼광글라스        005090SKGI   1010 109261
00한창              005110HNCC   1016 10    
00빙그레            005180BC     1005 10    
00동성화학          005190DSC    1008 10    
00녹십자홀딩스      005250GCH    1026 10    
00녹십자홀딩스1우   005255GCH5   1026 10    
00녹십자홀딩스2우   005257GCH7   1026 10    
00롯데칠성          005300LOTCS  1005 109081
00롯데칠성우        005305LOTCS5 1005 109081
00국동              005320KDCO   1016 10    
00모나미            005360MONAMI 1016 10    
00현대차            005380HMC    1015 109051
00현대차우          005385HMC5   1015 109051
00현대차2우B        005387HMC7   1015 109051
00현대차3우B        005389HMC9   1015 109051
00신성통상          005390SSTS   1016 10    
00코스모화학        005420CCC    1008 10    
00한국공항          005430KTC    1019 109060
00현대그린푸드      005440HDHS   1016 109250
00신한              005450SECO   1018 10    
00POSCO             005490POSCO  1011 109071
00삼진제약          005500SJP    1009 10    
00JS전선            005560JSC    1013 10    
00삼립식품          005610SGF    1005 10    
00대성합동지주      005620DSI    1026 10    
00삼영전자          005680SYE    1013 10    
00파미셀            005690ROI    1009 10    
00넥센              005720NXN    1026 10    
00넥센우            005725NXN5   1026 10    
00크라운제과        005740CROWN  1005 10    
00크라운제우        005745CROWN5 1005 10    
00대림B&Co          005750DBC    1010 10    
00신영와코루        005800SYW    1006 10    
00풍산홀딩스        005810PSHC   1026 10    
00원림              005820WLC    1006 10    
00동부화재          005830DBI    1025 109140
00에스엘            005850SLC    1015 10    
00휴니드            005870HUNEED 1013 10    
00대한해운          005880KLC    1019 10    
10동양건설          005900DEC    1018 10    
00삼성전자          005930SEC    1013 109011
00삼성전자우        005935SEC5   1013 109011
00우리투자증권      005940WIS    1024 109030
00우리투자증권우    005945WIS5   1024 109030
00이수화학          005950ISU    1008 10    
00동부건설          005960DBE    1018 109140
00동부건설우        005965DBE5   1018 109140
00성지건설          005980SJCON  1018 10    
00동원산업          006040DWI    1001 10    
00화승인더          006060HSIND  1008 10    
00사조오양          006090OYC    1001 10    
00삼아알미늄        006110SMA    1011 10    
00SK케미칼          006120SKCHEM 1008 109041
00SK케미칼우        006125SKCHEM51008 109041
00한국전자홀딩스    006200KECHS  1026 10    
00제주은행          006220CJB    1022 10    
00LS                006260LSH    1026 109030
00녹십자            006280GCC    1009 10    
00대원전선          006340DWCBL  1013 10    
00대원전선우        006345DWCBL5 1013 10    
00GS건설            006360GS E&C 1018 109030
00대구백화점        006370DEBEC  1016 10    
00대구백화우        006375DEBEC5 1016 10    
00카프로            006380CAPRO  1008 10    
00현대시멘트        006390HDCMT  1010 10    
00삼성SDI           006400SDI    1013 109011
00삼성SDI우         006405SDI5   1013 109011
00로엔케이          006490LOENK  1016 10    
00대림통상          006570DLT    1012 10    
00대한유화          006650KPIC   1008 10    
00삼성공조          006660SSCC   1015 10    
00영풍제지          006740YPP    1007 10    
00대우증권          006800DWSEC  1024 10    
00대우증권우        006805DWSEC5 1024 10    
00AK홀딩스          006840AKP    1026 10    
00신송홀딩스        006880                  
00태경화학          006890TKC    1008 10    
00우성사료          006980WFC    1005 10    
00GS리테일          007070                  
00일신석재          007110ILST   1016 10    
00디올메디바이오    007120UNIMO  1026 10    
00사조산업          007160SAJO   1001 10    
00한솔아트원제지    007190ENP    1007 10    
00한솔아트원제지우  007195ENP5   1007 10    
00한솔아트원제지2우B007197                  
00벽산              007210BSC    1010 10    
00한국특수형강      007280KSSC   1011 10    
00오뚜기            007310OTG    1005 10    
00동아타이어        007340DAT    1008 10    
00나라케이아이씨    007460KIC    1012 10    
00샘표식품          007540SF     1005 10    
00일양약품          007570IYP    1009 10    
00일양약품우        007575IYP5   1009 10    
00동방아그로        007590DBA    1008 10    
00선도전기          007610SEONDO 1013 10    
00지에스인스트루    007630G      1013 10    
00이수페타시스      007660ISUPTA 1013 10    
00국도화학          007690KDCHEM 1008 10    
00F&F               007700F&F    1006 10    
00코리아써키트      007810KC     1013 10    
00코리아써우        007815KC5    1013 10    
00코리아써키트2우B  00781K                  
00한일이화          007860HIEW   1015 10    
