00와이즈파워        040670       2160 043015400   
00아이씨디          040910       2159 043015300   
00인프라웨어        041020       2155 042015310   
10아라온테크        041060       2070 024008400   
00게임하이          041140       2154 042015210   
00우리기술투자      041190       2092 031011400   
00에버다임          041440       2070 024008300   
00한국전자인증      041460       2155 042015410   
00에스엠            041510       2106 037017202   
00이라이콤          041520       2160 043015300   
00GemTech           041590       2160 043015400   
00바이오스페이스    041830       2074 024008310   
00에스텍파마        041910       2066 024008300   
00동아화성          041930       2065 024008400   
00코미팜            041960       2066 024008210   
10케이피엠테크      042040       2065 024008400   
00에스씨디          042110       2072 024008400   
00비츠로테크        042370       2072 024008300   
00네오위즈홀딩스    042420       2099 033012300   
00링네트            042500       2156 042015400   
00라온시큐어        042510       2157 043015410   
00한스바이오메드    042520       2066 024008310   
00새로닉스          042600       2160 043015400   
10르네코            042940       2082 026010400   
00팜스웰바이오      043090       2084 027009410   
00솔고바이오        043100       2074 024008400   
00바텍              043150       2074 024008300   
00파루              043200       2160 043015410   
00경원산업          043220       2157 043015400   
00성호전자          043260       2160 043015410   
00케이맥            043290       2074 024008410   
00에쎈테크          043340       2070 024008400   
00디지아이          043360       2158 043015410   
00평화정공          043370       2075 024008200   
00에임하이          043580       2159 043015400   
00크로바하이텍      043590       2159 043015300   
00KT뮤직            043610       2154 042015300   
00국순당            043650       2056 024008300   
00다스텍            043710       2077 024008400   
00자연과환경        043910       2068 024008400   
00조광ILI           044060       2070 024008400   
00국제디와이        044180       2070 024008400   
00위닉스            044340       2072 024008400   
00유니더스          044480       2065 024008400   
00태웅              044490       2068 024008200   
00한광              044780       2070 024008410   
00이-글 벳          044960       2066 024008400   
00오공              045060       2065 024008400   
00한양이엔지        045100       2099 033012300   
00성우테크론        045300       2159 043015400   
00토탈소프트        045340       2155 042015410   
00대아티아이        045390       2155 042015300   
00정원엔시스        045510       2156 042015400   
00크린앤사이언스    045520       2062 024008400   
00에이텍            045660       2158 043015410   
00동부라이텍        045890       2072 024008400   
00비에스이          045970       2099 033012300   
00코다코            046070       2075 024008400   
00한일네트웍스      046110       2156 042015400   
00오르비텍          046120       2099 033012400   
00SBS콘텐츠허브     046140       2106 037017200   
00파나진            046210       2074 024008400   
00백금T&A           046310       2084 027009400   
00삼화네트웍스      046390       2106 037017400   
10디브이에스        046400       2158 043015400   
00KG모빌리언스      046440       2155 042015200   
00서울반도체        046890       2159 043015202   
00우원개발          046940       2082 026010400   
00우리로광통신      046970       2157 043015410   
00한빛소프트        047080       2154 042015400   
00파워로직스        047310       2160 043015300   
00레이젠            047440       2160 043015400   
00이스트소프트      047560       2154 042015310   
00코데즈컴바인      047770       2058 024008400   
00초록뱀            047820       2106 037017410   
00오스템임플란트    048260       2074 024008200   
00현대아이비티      048410       2158 043015400   
00유라테크          048430       2072 024008410   
00대동스틸          048470       2068 024008410   
00인트론바이오      048530       2066 024008300   
00SM C&C            048550       2100 033012300   
00TPC               048770       2070 024008400   
00엔피케이          048830       2065 024008400   
00코아로직          048870       2159 043015400   
00대원미디어        048910       2106 037017300   
00인탑스            049070       2160 043015200   
00기가레인          049080       2160 043015 10   
00파인디앤씨        049120       2160 043015400   
00셀루메드          049180       2066 024008310   
00코메론            049430       2074 024008400   
00SGA               049470       2155 042015410   
00오픈베이스        049480       2156 042015400   
00유아이엘          049520       2160 043015300   
00잉크테크          049550       2065 024008310   
00재영솔루텍        049630       2160 043015400   
00고려신용정보      049720       2100 033012400   
00승일              049830       2077 024008400   
00미래컴퍼니        049950       2070 024008300   
00쎌바이오텍        049960       2066 024008310   
00휘닉스소재        050090       2160 043015300   
00캠시스            050110       2160 043015300   
00라이브플렉스      050120       2084 027009300   
00아남정보기술      050320       2156 042015410   
00엠피씨            050540       2100 033012400   
00에스폴리텍        050760       2065 024008410   
00아세아텍          050860       2070 024008400   
00쏠리드            050890       2157 043015310   
00지어소프트        051160       2155 042015400   
00루보              051170       2070 024008400   
00토비스            051360       2158 043015410   
00인터플렉스        051370       2160 043015202   
00피씨디렉트        051380       2084 027009400   
00영우통신          051390       2157 043015410   
00나라엠앤디        051490       2070 024008400   
00CJ프레시웨이      051500       2084 027009200918
00큐로홀딩스        051780       2084 027009400   
00SNH               051980       2157 043015410   
00에스티큐브        052020       2160 043015410   
00소프트맥스        052190       2154 042015300   
00iMBC              052220       2154 042015300   
00바이오랜드        052260       2065 024008300   
00우전앤한단        052270       2160 043015300   
00트레이스          052290       2160 043015310   
00승화산업          052300       2090 029009400   
00코텍              052330       2158 043015300   
00코나아이          052400       2155 042015300   
00오성엘에스티      052420       2070 024008300   
00아이크래프트      052460       2156 042015400   
00한네트            052600       2151 041015400   
00제일바이오        052670       2066 024008400   
00아모텍            052710       2160 043015310   
00와이디온라인      052770       2154 042015300   
00액토즈소프트      052790       2154 042015200   
00아이앤씨          052860       2159 043015410   
